                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.7012,                 5.7481,                 4.3106,                      0,                      0,                      0,                      0,                 3.6315,                  5.794,                 4.1543,                 0.0973,                 0.0003,                 0.0003
                      1,                 3.6165,                 5.7941,                  4.355,                      0,                      0,                      0,                      0,                 3.6297,                 5.7904,                 4.1487,               0.093697,             0.00069685,             0.00069685
                      2,                 3.4523,                 5.7666,                 4.2638,                      0,                      0,                      0,                      0,                 3.6289,                 5.7868,                 4.1429,                0.09009,              0.0010901,              0.0010901
                      3,                 3.6125,                 5.7936,                 4.2496,                      0,                      0,                      0,                      0,                 3.6273,                 5.7831,                 4.1373,                0.08648,              0.0014797,              0.0014797
                      4,                 3.2839,                 5.6624,                 4.2594,                      0,                      0,                      0,                      0,                 3.6252,                 5.7806,                 4.1338,               0.082866,              0.0018658,              0.0018658
                      5,                 3.5903,                 5.7713,                  4.201,                      0,                      0,                      0,                      0,                 3.6229,                 5.7781,                   4.13,               0.079248,              0.0022483,              0.0022483
                      6,                 3.7006,                   5.72,                  4.208,                      0,                      0,                      0,                      0,                 3.6206,                 5.7758,                 4.1261,               0.075627,              0.0026271,              0.0026271
                      7,                 3.4682,                 5.7138,                 4.1915,                      0,                      0,                      0,                      0,                 3.6186,                 5.7724,                 4.1217,               0.072002,              0.0030023,              0.0030023
                      8,                 3.2869,                 5.6744,                  4.192,                      0,                      0,                      0,                      0,                  3.617,                 5.7698,                 4.1175,               0.068374,               0.003374,               0.003374
                      9,                 3.6185,                 5.7154,                 4.2322,                      0,                      0,                      0,                      0,                 3.6157,                 5.7677,                 4.1137,               0.064742,              0.0037421,              0.0037421
                     10,                 3.4076,                 5.6635,                 4.1749,                      0,                      0,                      0,                      0,                 3.6148,                 5.7645,                 4.1095,               0.061107,              0.0041065,              0.0041065
                     11,                 3.2608,                 5.7214,                 4.1592,                      0,                      0,                      0,                      0,                 3.6134,                 5.7615,                 4.1053,               0.057467,              0.0044673,              0.0044673
                     12,                 3.5366,                 5.6086,                 4.1608,                      0,                      0,                      0,                      0,                 3.6122,                 5.7584,                 4.1014,               0.053825,              0.0048246,              0.0048246
                     13,                 3.4485,                 5.5626,                 4.1622,                      0,                      0,                      0,                      0,                 3.6113,                 5.7569,                 4.0993,               0.050178,              0.0051782,              0.0051782
                     14,                 3.8128,                 5.7102,                 4.1537,                      0,                      0,                      0,                      0,                 3.6099,                 5.7543,                 4.0951,               0.046528,              0.0055283,              0.0055283
